publication,author,date,unit_deny_reason,reason,"note_on_sourcing:_i_got_this_information_through_a_request_to_the_tdcj_public_information_office,_received_10/14/2022.",year,month,day,state_arc
WINEMAKING WITH CONCENTRATES,"DUNCAN, PETER",2014-01-29,AGES 53-106 CONTAINS RECIPES ON HOW TO MAKE WINE,PGS 53-106 MFG ALC,,2014,1,29,tx
WING CHUN COMPENDIUM V2,"BELONOHA, WAYNE",2021-05-26,PAGES 168-331 OFF/DEF FIGHT TECH,ENTIRE BOOK CONTAINS OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES,,2021,5,26,tx
WING CHUN IP MAN,"ALESSANDRO, SIVO",2021-06-17,ENTIRE BOOK OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES,ENTIRE BOOK OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES,,2021,6,17,tx
WING CHUN KUNG FU,"LEE, J.YIMM",2021-03-03,"PAGES 126-129, 148-159 OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES",PAGES 126-129 & 148-159 OFFENSIVE AND DEFENSIVE FIGHTING TECHNIQUES,,2021,3,3,tx
WING CHUN KUNG FU TRADITIONAL CHINESE KUNG FU,"CHUN, IP",2019-01-14,"PAGES 13, 37, 60, 102 & 103 OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES","PGS 13, 37, 60, 102 & 103 OFF/DEF FIGHTING TECHNIQUES",,2019,1,14,tx
WING CHUN KUNG-FU A COMPLETE GUIDE,"SMITH, JOSEPH",2021-07-08,"PAGES 15, 16, 17 OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES","PAGES 15, 16 & 17 CONTAIN OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES",,2021,7,8,tx
WING CHUN KUNG-FU DE OCHO MODELOS,"GRUBER, MATTHIAS",2022-08-12,ENTIRE BOOK CONTAINS OFFENSIVE AND DEFENSIVE FIGHTING TECHNIQUES,ENTIRE BOOK CONTAINS OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES,,2022,8,12,tx
WING CHUN PLUM FLOWER POSTS,"BELONOHA, WAYNE",2021-03-31,PAGES 95-131 OFF/DEF FIGHT TECH,PAGES 95-131 OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES,,2021,3,31,tx
WING CHUN'S GEOMETRY,"MARQUEZ, WILLIAM",2020-01-22,"PAGES 32, 40, & 56 OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES","PAGES 32,40 & 56 CONTAIN OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES",,2020,1,22,tx
WING TSUN KUEN 23RD ED,"TING, LEUNG",2022-07-27,ENTIRE BOOK CONTAINS OFFENSIVE AND DEFENSIVE FIGHT TECHNIQUES,ENTIRE BOOK CONTAINS OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES,,2022,7,27,tx
WINGS OF ANGELS V1,"MALAK, MICHAEL",2021-10-06,"PAGES 11, 13, 18, 19 SEXUALLY EXPLICIT IMAGES","PAGES 11, 13, 18 & 19 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,10,6,tx
WINGS OF ANGELS V2,"MALAK, MICHAEL",2021-10-06,"PAGES 9, 13, 16, 19 SEXUALLY EXPLICIT IMAGES","PAGES 9, 13, 16 & 19 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,10,6,tx
