publication,author,date,unit_deny_reason,reason,"note_on_sourcing:_i_got_this_information_through_a_request_to_the_tdcj_public_information_office,_received_10/14/2022.",year,month,day,state_arc
NIRVANA NEVERMIND,"LEONARD, HAL",2010-07-13,FRONT COVER PHOTO NUDE CHILD,,,2010,7,13,tx
NIRVANA THE LYRICS,"LEONARD, HAL",2013-03-28,PAGE 17 CONTAINS A PICTURE OF A NUDE CHILD.,PAGE 17 PICTURE OF A NUDE CHILD,,2013,3,28,tx
"NIRVANA, THE BIGGEST ROCK BAND OF THE '90S","GAAR G, GILLIAN",2017-04-25,"AGES 44-47, AND PAGE 95 CONTAIN PHOTOS OF A NUDE CHILD.",PGS 44-47 & 95 NUDE CHILD,,2017,4,25,tx
NLP HOW TO IMPROVE YOUR MANIPULATION SKILLS,"CARTER, JACK",2020-05-29,NTIRE BOOK CONTAINS MANIPULATION TECHNIQUES,ENTIRE BOOK CONTAINS MANIPULATION TECHNIQUES,,2020,5,29,tx
"NLP HOW TO USE NLP FOR SOCIAL INFLUENCE, PERSUASIO","TURNER, STEVEN",2020-05-15,"PAGES 24, 27 & 28 MANIPULATION TECHNIQUES","PAGES 24, 27 & 28 MANIPULATION TECHNIQUES",,2020,5,15,tx
NLP THE ULTIMATE GUIDE TO USING NLP FOR PERSUASION,"METZGER, HEATH",2020-07-16,"AGES 75, 79, 80, 81 MANIPULATION TECHNIQUES","PAGES 75, 79, 80 & 81 CONTAIN MANIPULATION TECHNIQUES",,2020,7,16,tx
NO APPARENT DISTRESS,"PEARSON, RACHEL",2019-01-23,PGS 81-86 INFORMATION THAT COULD BE ASECURITY RISK,PGS 81-86 CONTAIN DETAILED INFORMATION OF A TDCJ PRISON LAYOUT THAT WILL CAUSE SECURITY CONCERNS IF DISTRIBUTED TO OFFENDERS,,2019,1,23,tx
NO ESCAPE MALE RAPE IN U.S.PRISONS,HUMAN RIGHTS WATCH,2002-04-26,"PAGES: 101, 106, 107, 109, 167, 173 & 210 RAPE","PGS 101, 106, 107, 109, 167, 173 & 210 RAPE",,2002,4,26,tx
NO GAME NO LIFE 1 (NOVEL),"KAMIYA, YUU",2021-09-27,"PAGES 3, 4, 5 SEXUALLY EXPLICIT IMAGES",PAGES 4 & 5 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,9,27,tx
NO GAME NO LIFE 10 (NOVEL),"KAMIYA, YUU",2021-09-20,"PAGES 1, 3, 7 SEXUALLY EXPLICIT IMAGES",PAGES FRONT COVER & 3 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,9,20,tx
NO GAME NO LIFE 2 (NOVEL),"KAMIYA, YUU",2021-09-20,"PAGES 8, 9 SEXUALLY EXPLICIT IMAGES",PAGE 8 CONTAINS A SEXUALLY EXPLICIT IMAGE,,2021,9,20,tx
NO GAME NO LIFE 3 (MANGA SERIES),"KAMIYA, YUU",2020-02-19,"PAGES 1, 5, 63 SEXUALLY EXPLICIT IMAGES",PAGE 63 SEXUALLY EXPLICIT IMAGE,,2020,2,19,tx
NO GAME NO LIFE 3 (NOVEL),"KAMIYA, YUU",2021-09-20,PAGE 199 SEXUALLY EXPLICIT IMAGE,PAGE 199 CONTAINS SEXUALLY EXPLICIT IMAGES,,2021,9,20,tx
NO GAME NO LIFE 4 (NOVEL),"KAMIYA, YUU",2021-09-20,"PAGES 4, 6 SEXUALLY EXPLICIT IMAGES",PAGES 4 & 6 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,9,20,tx
NO GAME NO LIFE 7 (NOVEL),"KAMIYA, YUU",2021-09-20,"PAGES 31, 44 SEXUALLY EXPLICIT IMAGES",PAGES 31 & 45 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,9,20,tx
NO GAME NO LIFE 9,"KAMIYA, YUU",2019-11-05,AGE 4 SEXUALLY EXPLICIT IMAGE,PAGE 4 CONTAINS SEXUALLY EXPLICIT IMAGES,,2019,11,5,tx
"NO GAME NO LIFE, PLEASE 1","KAMIYA, YUU",2018-05-15,PAGES 134-141 CONTAIN SEXUALLY EXPLICIT IMAGES. IMAGES.,PGS 135 & 137 CONTAIN SEXUALLY EXPLICIT IMAGES,,2018,5,15,tx
"NO GAME NO LIFE, PLEASE 2","KAMIYA, YUU",2018-05-15,PAGES 124-130 CONTAIN SEXUALLY EXPLICIT IMAGES.,PGS 124 & 125 CONTAIN SEXUALLY EXPLICIT IMAGES,,2018,5,15,tx
"NO GAME NO LIFE, PLEASE 3","KAMIYA, YUU",2018-05-15,PAGES 102 AND 138 CONTAIN SEXUALLY EXPLICIT IMAGES.,PGS 102 & 138 CONTAIN SEXUALLY EXPLICIT IMAGES,,2018,5,15,tx
"NO GAME NO LIFE, PLEASE 4","KAMIYA, YUU",2021-11-08,PAGES 154-157 SEXUALLY EXPLICIT IMAGES,"PAGES 154, 155, 156 & 157 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,11,8,tx
NO GOOD DEED,"SWAIN, JAMES",2020-09-03,"AEGS 58, 59, 60 HOW TO SMUGGLE PHONES, DRUGS & LAPTOPS","PAGES 58, 59 & 60 HOW TO SMUGGLE PHONES, DRUGS & LAPTOPS INTO A CORREC TIONAL FACILITY",,2020,9,3,tx
NO GRID SURVIVAL PROJECTS,"MAJOR, MICHAEL",2022-07-08,ENTIRE BOOK CONTAINS INFORMATION THAT COULD FACILITATE AN ESCAPE,PAGE 38 CONTAINS THE BREAKDOWN OF A WEAPON; 245 CONTAINS INFORMATION WHICH COULD FACILITATE AN ESCAPE,,2022,7,8,tx
NO LONGER HUMAN,"ITO, JUNJI",2020-01-14,"AGES 39, 40, 89, 114 & 115 SEXUALLY EXPLICIT IMAGES","PAGES 40,114,115 & 139 CONTAIN SEXUALLY EXPLICIT IMAGES",,2020,1,14,tx
NO MERCY (H),"WALSH, JOHN",2001-03-30,"PAGES: 10, 166, 167 & 280 RAPE; 115-117 INC FTR DTR","PGS 10, 166, 167 & 280 RAPE; 115-117 INCEST (FTR/DTR)",,2001,3,30,tx
"NO REGRETS: THE BEST, WORST, AND MOST RIDICULOUS T","YAEL, AVIVA",2008-07-01,"REASON F: PAGES 5, 27, 37, 72, 96, 108 & 114 SEXUALLY EXPLICIT IMAGES","PGS 5, 27, 37, 72, 96, 108 & 114 SEXUALLY EXPLICIT IMAGES",,2008,7,1,tx
NO SPEED LIMIT: HIGHS & LOWS OF METH,"OWEN, FRANK",2019-08-20,"PGS 15, 16, 17-20 & 62-78 MFG DRUGS","PGS 15, 16, 17-20 & 62-78 MFG DRUGS",,2019,8,20,tx
NO STRAIGHT LINES,"HALL, JUSTIN",2015-01-02,"AGES 28-29, 37,39,42,46,51,101,307 CONTAIN SEXUALLY EXPLICIT IMAGES.","PGS 28, 29, 37, 39, 42, 46, 51, 101 & 307 SEXUALLY EXPLICIT IMAGES",,2015,1,2,tx
NO STRINGS ATTACHED,"FLOWERS, NANCEY",2007-01-30,PAGES: 18 & 19 IND CHL (AGE PG 17),PGS 18 & 19 IND W/CHILD (AGE PG 17),,2007,1,30,tx
NO USE ESCAPING TOMIE,"ITO, JUNJI",2020-06-24,AGE 330 SEXUALLY EXPLICIT IMAGE,PAGE 330 SEXUALLY EXPLICIT IMAGES,,2020,6,24,tx
NO VIABLE OPTION,"GRIMES, CRAIG",2013-11-26,PAGE 7 AGE & PAGES 9 & 10 SEX WITH A MINOR,PAGES 9 & 10 SEX WITH MINOR (AGE PAGE 7),,2013,11,26,tx
NO WAY OUT,"ELYSIA, KATE",2019-06-07,"PGS 37, 38, 41, 48 & 49 RAPE","PGS 37, 38, 41, 48 & 49 RAPE",,2019,6,7,tx
NO 014,"JODOROWSKY, ALEJANDRO",2015-01-23,PAGES 26 AND 42 CONTAIN SEXUALLY EXPLICIT IMAGES,PGS 26 & 42 SEXUALLY EXPLCIT IMAGES,,2015,1,23,tx
NOAH'S RIGHTS,"YORK, KENNI",2018-02-01,PAGES 4-11 INCEST BETWEEN FATHER AND DAUGHTER,PGS 4011 INCEST (FTR/DTR),,2018,2,1,tx
NOBLE ENGLISH ART OF SELF-DEFENSE,"DONNELLY, NED",2019-04-09,ENTIRE BOOK OFF/DEF FIGHTING TECHNIQUES,"PGS 18, 19, 50, 51, 54 & 55 OFF/DEF FIGHTING TECHNIQUES",,2019,4,9,tx
NOBODY CARED,"O'BRIAN, TERRIE",2021-07-16,"PAGES 4, 5, 16, 17, 102, 103 SEX WITH A MINOR",PAGE 103 RAPE,,2021,7,16,tx
NOBODY LEFT,"FISH, MR.",2020-08-20,"AGES 4, 8, 49, 102, 115, SEXUALLY EXPLICIT IMAGES","PAGES 120,198 & 202 SEXUALLY EXPLICIT IMAGES",,2020,8,20,tx
NOBODY TRUE,"HERBERT, JAMES",2007-01-23,PAGE: 218 RAPE,PG 218 RAPE,,2007,1,23,tx
NOBODY'S VICTIM,"GOLDBERG, CARRIE",2022-05-12,"PGS 73, 74, 75 RAPE OF A MINOR",PAGES 74 & 75 CONTAIN RAPE OF A MINOR (AGE PG 73),,2022,5,12,tx
NODA PORTRAITS OF PLEASURE,"NODA, SHINICHI",2014-02-25,"AGES 9,10,17-20,22-24,28-30,36-47,51,54,56-59,72,77-79 AND 81 CONTAIN SEXUALLY EXPLICIT PHOTOS","PAGES 9, 10 & 19 SEI",,2014,2,25,tx
NOMA GUIDE TO FERMENTATION,"REDZEPI, RENE",2018-12-07,"PAGES 173-184, 187, 188, 191, 195-199 MANUFACTURE ALCOHOL","PGS 173-184, 187, 188, 191 & 195-199 MFG ALC",,2018,12,7,tx
NOMEN OMEN V1 TOTAL ECLIPSE OF THE HEART,"BUCCI, MARCO",2020-06-03,"AGES 18,19, 110, 111, 114, 119 SEXUALLY EXPLICIT IMAGES","PAGES 18, 19, 110, 111, 114 & 119 SEXUALLY EXPLICIT IMAGES",,2020,6,3,tx
NOMEN OMEN V3 AS THE WORLD FALLS DOWN,"BUCCI, MARCO",2021-09-21,"PAGES 66, 76 SEXUALLY EXPLICIT IMAGES",PAGES 66 & 76 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,9,21,tx
"NONSTOP BOOK OF FANTASTIKA TATTOO DESIGNS, THE","CYPRET, K.J.",2013-01-15,EASON F. PAGE 23 CONTAINS SEXUALLY EXPLICIT IMAGE,PG 23 CONTAINS SEXUALLY EXPLICIT IMAGE,,2013,1,15,tx
NORDIC TATTOO,"FAUST, KAI-UWE",2019-09-03,"PGS 29, 31 & 43 SEXUALLY EXPLICIT IMAGES","PGS 29, 31 & 43 SEXUALLY EXPLICIT IMAGES",,2019,9,3,tx
NORMA JEAN THE LIFE OF MARILYN MONROE,"GUILES, FRED",2020-12-28,PAGE 262 SEXUALLY EXPLICIT IMAGES,PAGES 262 SEXUALLY EXPLICIT IMAGES,,2020,12,28,tx
NORMAN SAUNDERS,"SAUNDERS, DAVID",2013-04-29,"GS 53,54 AND 55 CONTAINS SEXUALLY EXPLICIT IMAGES","PAGES 53, 54 & 55 SEXUALLY EXPLICIT IMAGES",,2013,4,29,tx
NORMANDY GOLD,"ABBOTT, MEGAN",2021-04-30,"PAGES 9, 30, 44, 47 SEXUALLY EPXLICIT IMAGES","PAGES 9, 30, 44 & 47 SEXUALLY EXPLICIT IMAGES",,2021,4,30,tx
NORSE MYTHOLOGY,"COTTERELL, ARTHUR",2017-04-25,"ITLE PAGE AT FRONT OF BOOK AND PAGE 24 , CONTAIN SEXUALLY EXPLICIT IM AGES ON CHILDREN",PAGE 24 NUDE CHILD,,2017,4,25,tx
NORTH AMERICA ATLAS,KAPPA,2017-03-09,PAGES 52 & 53 CONTAIN DETAILED MAPS THAT COULD FACILITATE AN ESCAPE,PGS 52 & 53 DETAILED MAP OF TEXAS THAT COULD FACILITIATE AN ESCAPE,,2017,3,9,tx
NORTH AMERICA ATLAS,KAPPA,2017-05-02,AGES 88-91 CONTAIN DETAILED MAP OF TEXAS,PGS 88-91 DETAILED MAP OF TEXAS WHICH COULD FACILITATE AN ESCAPE,,2017,5,2,tx
NORTH AMERICAN AND RV TRAVEL TRAVEL GUIDE 2016,NONE,2016-04-25,"AGES 1102,1103,AND 1104 ONTAINS DETAILED MAPS OF TEXAS","PGS 1102, 1103 & 1104 DETAILED MAPS OF TEXAS COULD FACILITATE AN ESCAPE",,2016,4,25,tx
"NORTH AMERICAN BOWS,ARROWS,AND QUIVERS","MASON, OTIS",2010-12-31,"G. 50,51 MFG OF A WEAPON",PAGES: 50 & 51 MFG WPN,,2010,12,31,tx
NORTH OF NORMAL,"PERSON, CEA SUNRISE",2015-12-15,PAGES 216-217 SEX WITH A MINOR (AGE ON PG 206) PAGES 307-311 RAPE OF A MINOR (AGE ON PG 307),"PGS 216, 217, 310 & 311 INDECENCY WITH A CHILD",,2015,12,15,tx
NORTHERN PRAYING MANTIS KUNG FU,"OLSON, STUART",2010-09-20,"PAGES 29, 30, 31, & 32 OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES","PAGES 29,30,31 & 32 OFFENSIVE AND DEFENSIVE FIGHTING TECHNIQUES",,2010,9,20,tx
NORTHLANDERS V1 ANGO-SAXON SAGA,"WOOD, BRIAN",2016-07-29,"AGES 150,151,160.174 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 150, 151, 160 & 174 SEXUALLY EXPLICIT IMAGES",,2016,7,29,tx
NORTHLANDERS V1 SVEN THE RETURNED,"WOOD, BRIAN",2020-12-22,"AGES 50,51,61, AND 75 CONTAIN SEXUALLY EXPLICIT IMAGES","PAGES 50, 51, 61 & 75 CONTAIN SEXUALLY EXPLICIT IMAGES",,2020,12,22,tx
"NOSFERATU SCROLL, THE","BECKER, JAMES",2012-02-24,"EASON D, PAGE 190 CONTAINS DETAILED DESCRIPTION OF RAPE.",PG 190 RAPE,,2012,2,24,tx
NOSFERATU: THE BEAST THAT HAUNTS THE BLOOD,"HARTLEY, JESS",2014-10-22,PG 24 CONTAINS SEI,PG 24 SEXUALLY EXPLICIT IMAGE,,2014,10,22,tx
NOT GAY SEX BETWEEN STRAIGHT WHITE MEN,"WARD, JANE",2019-08-06,"PGS 149, 171, 178 & 183 SEXUALLY EXPLICIT IMAGES","PGS 149, 171, 178 & 183 SEXUALLY EXPLICIT IMAGES",,2019,8,6,tx
"NOT SO SUBTLE ART OF BEING A FAT GIRL, THE","HOLLIDAY, TESS",2018-05-17,PAGE 4 PHOTO NSERTS CONTAINS SEXUALLY EXPLICIT IMAGES,PG 4 OF PHOTO INSERT CONTAINS A SEXUALLY EXPLICIT IMAGE,,2018,5,17,tx
NOT WITHOUT MY SISTER,KRISTINA,2021-12-10,"PAGES 30-33, 77-93 INDECENCY WITH A CHILD",PAGES 30 - 33 CONTAINS GRAPHIC DEPICTION OF INDECENCY WITH A CHILD,,2021,12,10,tx
NOTES ON A SILENCING,"CRAWFORD, LACY",2021-01-06,PAGES 3-5 SEX WITH MINOR PAGE 10 AGE,PAGES 4-5 SEX WITH A MINOR PAGE 10 AGE,,2021,1,6,tx
NOTHING BETTER V3 GREAT EXPECTATIONS PT 1,"PAGE, TYLER",2020-01-30,PAGE 35 & 69 SEXUALLY EXPLICIT IMAGES,PAGES 35 & 69 CONTAIN SEXUALLY EXPLICIT IMAGES,,2020,1,30,tx
NOTHING BUT A SMILE THE PINUP ART OF MARK ROGERS,"ROGERS, MARK",2007-10-11,"PAGES: 9, 13, 27, 33 & 35 SEI","PGS 9, 13, 27, 33 & 35 SEXUALLY EXPLICIT IMAGES",,2007,10,11,tx
NOTHING IS STRANGE WITH YOU,"PAUL, JAMES",2009-02-20,"PAGES 30 & 40 SEX WITH A MINOR, PAGE 27, 29 &39 AGE","PGS 30 & 40 SEX W/MINOR (AGE PGS 27, 29 & 39)",,2009,2,20,tx
NOTHING LAST FOREVER,"SHELDON, SIDNEY",2019-05-22,AGE 65 INCEST FATHER/DAUGHTER,PG 65 RAPE OF MINOR (AGE PG 65),,2019,5,22,tx
NOTHING TO HIDE: YOUNG MEN FROM SLOVAKIA,"DLAB, PHIL",2021-11-15,"AGES 10, 11, 13 & 14 CONTAIN SEXUALLY EXPLICIT IMAGES","PAGES 10, 11, 13 & 14 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,11,15,tx
"NOTORIOUS TEXAS SWINDLER, THE","ANNE, PEPPER",2022-08-30,PAGES 165-185 COULD BE USED TO FACILITATE AN ESCAPE,"PAGES 174, 175, 176 & 177 CONTAINS DETAILED INFORMATION WHICH COULD BE USED TO FACILITATE AN ESCAPE",,2022,8,30,tx
NOVA ADVENTURES IN SCIENCE,NONE,2007-02-15,PAGE: 162 NUD CHL,PG 162 NUDE CHILD,,2007,2,15,tx
NOVEMBER V1 THE GIRL ON THE ROOF,"FRACTION, MATT",2021-06-22,"PAGES 16, 17 & 73 SEXUALLY EXPLICIT IMAGES","PAGES 16, 17, 73 SEXUALLY EXPLICIT IMAGES",,2021,6,22,tx
NTR NETSUZOU TRAP VOL. 1,"NAOKO, KODAMA",2017-01-10,PAGE 93 CONTAINS SEXUALLY EXPLICIT IMAGE,"PGS 47, 52, 73, 76 & 80 CONTAIN SEXUALLY EXPLICIT IMAGES",,2017,1,10,tx
NUDE,"SILKE, JIM",2017-10-10,"GS.24, 28, 29, 32, AND 36 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 24, 28, 29, 32 & 36 SEXUALLY EXPLICIT IMAGES",,2017,10,10,tx
"NUDE FEMALE FIGURE, THE","SMITH, MARK",2011-01-03,PAGES 8-25 NUDE PHOTOS,PAGES: 8-25 SEI,,2011,1,3,tx
"NUDE IN PHOTOGRAPHY, THE","MARTINEAU, PAUL",2018-07-25,"AGES 69, 72, 73, 74 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 69, 71, 73 & 74 SEXUALLY EXPLICIT IMAGES",,2018,7,25,tx
"NUDE SKETCHBOOK, THE",NONE,2021-07-13,"AGES 8, 14 & 26 SEXUALLY EXPLICIT IMAGES",AGE 8 NUDE CHILD,,2021,7,13,tx
NUDES ON LOCATION,"LEMON, BILL",2019-07-22,"PGS 6, 7, 30, 31, 78 & 79 SEXUALLY EXPLICIT IMAGES","PGS 6, 7, 30, 32, 78 & 79 SEXUALLY EXPLICIT IMAGES",,2019,7,22,tx
NUDIST MAGAZINES OF THE 50'S & 60'S COLLECTOR'S,"LANGE, ED",2001-05-17,"PAGES: 29-31, 33 & 36-41 NUDE CHILDREN","PGS 29-31, 33 & 36-41 NUDE CHILDREN",,2001,5,17,tx
NUDNIK REVEALED,"DEITCH, GENE",2015-05-15,PAGE 15 CONTAINS SEXUALLY IMAGE,PAGE 19 CONTAINS SEXUALLY EXPLICIT IMAGE,,2015,5,15,tx
NUESTRA FAMILIA,"MENDOZA, JOHN",2021-08-26,ENTIRE BOOK STG RELATED MATERIAL,ENTIRE BOOK CONTAINS UNAUTHORIZED GROUP RELATED MATERIAL,,2021,8,26,tx
"NULLZEIT, SEX AND TIEFENRAUSCH: 333 ANTWORTEN AUF","OCHSENBAUER, LEO",2008-03-27,REASON F,PG 76 SEXUALLY EXPLICIT IMAGES,,2008,3,27,tx
NUMENERA: THE DEVIL'S SPINE,"COOK, MONTE",2016-04-14,"AGE 81, 94 CONTAINS SEXUALLY EXPLICIT IMAGES",PGS 81 & 94 SEXUALLY EXPLICIT IMAGES,,2016,4,14,tx
NURSE HITOMI'S MONSTER INFIRMARY #9,SHAKE-O,2019-06-27,PG 80 SEXUALLY EXPLICIT IMAGES,PAGE 80 CONTAINS SEXUALLY EXPLICIT IMAGES,,2019,6,27,tx
NURSE HITOMI'S MONSTER INFIRMARY 1,SHAKE-O,2017-04-14,"PG 7 SEX WITH MINOR PGS 18,128,130,131,144 SEI","PG 7, 18, 128 & 130 CONTAIN SEXUALLY EXPLICIT IMAGES",,2017,4,14,tx
NURSE'S SECRETS,"HARAZAKI, TAKUMA",2018-07-09,"AGES: 3, 5 AND 7 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 3, 5 & 7 SEXUALLY EXPLICIT IMAGES",,2018,7,9,tx
NYLON,"KROYANI, PATRIZIO",2018-02-15,PGS 7 & 8 CONTAIN SEXUALLY EXPLICIT IMAGES,PGS 7 & 8 SEXUALLY EXPLICIT IMAGES,,2018,2,15,tx
NYLON GIRLS EROTIC FASHION PHOTOGRAHPY,"KESSLER, CHRISTINE",2010-06-15,"CONTAINS SEXUALY EXPLICIT IMAGES PGS 13-15, 55 & 87","PAGES 13-15, 55 & 87 SEXUALLY EXPLICIT IMAGES",,2010,6,15,tx
NYMPH,"THORNE, FRANK",2012-02-13,"PAGES 6, 9, 11, 13, 16 & 23 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 6, 9, 11, 13, 16 & 23 SEXUALLY EXPLICIT IMAGES",,2012,2,13,tx
NYMPHETTES VOL 1,"BLAIR, BARRY",2022-09-26,"PREVIOUSLY DENIED PAGES 2, 7 & 11 SEXUALLY EXPLICIT IMAGES",,,2022,9,26,tx
O G PIMP FROM WEST PALM BEACH PART I,"GUYTON, KEVIN",2014-07-30,PGS 12 & 16 CONTAIN INCEST BROTHER/SISTER,PGS 12 & 16 INCEST (BRO/SIS),,2014,7,30,tx
O NEVER TOLD ANYONE,"BASS, ELLEN",2009-01-29,AGES 64(AGE 11) -INCEST FTR/DTR PAGE 67 -INCEST FTR/DTR,PAGE 67 INCEST FTR/DTR,,2009,1,29,tx
O.G. PIMP FROM WEST PALM BEACH III,"GUYTON, KEVIN",2019-09-26,PGS 12 & 13 RAPE; PGS 52 & 53 INC; PG 65 IND W/CHILD,PGS 12 & 13 RAPE,,2019,9,26,tx
O.P.P.,"JACKSON, J.J.",2017-10-20,PGS.17-19 CONTAIN INCEST (FTR/DTR),PGS 17-19 INCEST (FTR/DTR),,2017,10,20,tx
O.P.P. 2,"JACKSON, J.J.",2017-10-25,PAGES 81-82 CONTAIN RAPE,PGS 81 & 82 RAPE,,2017,10,25,tx
OASIS,"HODGE, BRIAN",2001-08-20,PAGES: 100 & 101 RAPE,PGS 100 & 101 RAPE,,2001,8,20,tx
OBJECT ORIENTED,"HAWES, BYRON",2022-01-24,"PAGES 298, 322 SEXUALLY EXPLICIT IMAGES",PAGES 298 & 322 CONTAIN SEXUALLY EXPLICIT IMAGES,,2022,1,24,tx
OBLIVION,"KRISTENSEN, KEN",2019-06-14,PG 66 SEXUALLY EXPLICIT IMAGE,PAGE 66 CONTAINS SEXUALLY EXPLICIT IMAGES,,2019,6,14,tx
OBSESSION,"DOUGLAS, JOHN",2020-06-09,AGE 49 RAPE OF A CHILD,PAGE 49 INDECENCY WITH A CHILD,,2020,6,9,tx
OBSESSION,"REWALD, SABINE",2018-12-12,"PGS 40, 92, 93 & 102 SEXUALLY EXPLICIT IMAGES","PGS 40, 92, 93 & 102 SEXUALLY EXPLICIT IMAGES",,2018,12,12,tx
OBSESSION,"SERPIERI, PAOLO",2005-08-31,REASON F,PGS 7 & 11 SEXUALLY EXPLICIT IMAGES,,2005,8,31,tx
"OBSIDIAN MIRROR, THE","WISECHILD, LOUISE M.",2009-01-08,G. 2 OF INTRO. CONTAINS SEX MNR; PG. 61-62 RAPE MNR. (ENTIRE BOOK DEA LS W/INC),PGS 61 & 62 RAPE,,2009,1,8,tx
OCCULT ARCANA,"GABLE, RYAN",2020-06-26,"AGES 222, 393 & 470 SEXUALLY EXPLICIT IMAGES",PAGES 393 & 470 CONTAIN SEXUALLY EXPLICIT IMAGES,,2020,6,26,tx
"OCCULT EXPERIENCE, THE","DRURY, NEVILL",2020-02-21,AGES 85 & 86 SEXUALLY EXPLICIT IMAGES,PAGES 85 & 86 CONTAIN SEXUALLY EXPLICIT IMAGES,,2020,2,21,tx
OCTAVIA E. BUTLER'S KINDRED,"DUFFY, DAMIAN",2017-03-21,PAGE 46 SEXUALLY EXPLIXIT IMAGE,PG 46 SEXUALLY EXPLICIT IMAGE,,2017,3,21,tx
ODD GIRLS AND TWILIGHT LOVERS,"FADERMAN, LILLIANN",2012-01-26,SECOND SETOF PHOTO PAGES PG 2 AND 5 SEXUALLY EXPLICT IMAGES,PAGE 5 OF PHOTO INSERTS BETWEEN PGS 214/215 CONTAINS A SEXUALLY EXPLICIT IMAGES,,2012,1,26,tx
ODDBALL TEXAS,"POHLEN, JEROME",2015-01-06,"AGES 30-31,68-69,136-137,180-181,234-235,314-315 CONTAIN DETAILED MAP","PGS 30, 31, 68, 69, 136, 137, 234, 235, 314 & 315 DETAILED MAPS OF TEXAS WHICH COULD FACILITATE AN ESCAPE",,2015,1,6,tx
ODE TO KIRIHITO,"TEZUKA, OSAMU",2008-11-07,PAGES 580 & 581 SEXUALLY EXPLICIT IMAGES,PGS 580 & 581 SEXUALLY EXPLICIT IMAGES,,2008,11,7,tx
ODYSSEY: THE ART & WORKS OF MIKE HOFFMAN,"HOFFMAN, MIKE",2019-08-29,"PGS 4, 6, 8, 9, 11 & 13 SEXUALLY EXPLICIT IMAGES","PGS 4, 6, 8, 9, 11 & 13 SEXUALLY EXPLICIT IMAGES",,2019,8,29,tx
OF ALL SAD WORDS,"CRIDER, BILL",2016-05-12,AGES 51-53 CONTAIN MANUFACTURING OF ALCHOLOIC BEVERAGE,"PGS 51, 52 & 53 MFG ALC",,2016,5,12,tx
OF LOVE & LIFE,READER'S DIGEST,2018-09-04,PAGE 448 RAPE,PG 448 RAPE,,2018,9,4,tx
OFF THE BEATEN PATH A TRAVEL GUIDE TO MORE THAN,READER'S DIGEST,2013-01-28,PAGE 319 CONTAINS A DETAILED MAP OF TEXAS,PG 319 DETAILED MAP OF TEXAS WHICH COULD FACILITATE AN ESCAPE,,2013,1,28,tx
OFFERINGS: THE ART OF BROM,BROM,2008-07-03,REASON F,PG 23 SEXUALLY EXPLICIT IMAGES,,2008,7,3,tx
OFFICE WEAPONS,INSTRUCTABLES.COM,2019-02-28,ENTIRE BOOK HOW TO MAKE WEAPONS,"PGS 18, 19, 20, 21, 52, 53 & 54 MFG WPN",,2019,2,28,tx
OFFICER DOWNE,"CASEY, JOE",2017-02-14,G.4 &5 SEXUAL EXPLICIT IMAGES,PGS 4 & 5 SEXUALLY EXPLICIT IMAGES,,2017,2,14,tx
"OFFICIAL BOOK OF SEX, DRUGS & ROCK N ROLL LISTS","MCGUIRE, JUDY",2016-03-29,"PGS 13, 33 & 134 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 13, 33 & 134 SEXUALLY EXPLICIT IMAGES",,2016,3,29,tx
OFFICIAL CERT GUIDE CCNP ROUTING AND SWITCHING,"LACOSTE, RAYMOND",2016-04-20,NTIRE BOOK CONTAINS INFORMATION ON ELECTRICAL WIRING,ENTIRE BOOK CONTAINS INFO ON ELECTRICAL WIRING,,2016,4,20,tx
"OFFICIAL FIVE STAR FINESS BOOT CAMP WORKOUT, THE","FLACH, ANDREW",2022-06-06,87-93 OFF/DEF FIGHTING TECHNIQUES,PAGES 87 - 93 CONTAIN OFFENSIVE/DEFENSIVE FIGHTING TECHNIQUES,,2022,6,6,tx
"OFFICIAL HIGH TIMES, THE","BIENENSTOCK, DAVID",2015-07-21,PAGE 12 CONTAINS SEXUALLY EXPLICIT IMAGE,PG12 SEXUALLY EXPLICIT IMAGE,,2015,7,21,tx
"OFFICIAL PUNK ROCK BOOK OF LISTS, THE","WALLACE, AMY",2011-07-07,AGE 289 CONTAINS SEXUALLY EXPLICIT IMAGES,PAGE: 289 SEI,,2011,7,7,tx
OFFSPRING,"KETCHUM, JACK",2007-08-23,PAGE: 105 SEX MNR,PG 105 SEX W/MINOR,,2007,8,23,tx
OGILVY ON ADVERTISING,"OGILVY, DAVID",2009-07-03,ACK OF FIRST COVERPAGE - SEI,PAGE 2 SEI,,2009,7,3,tx
