clean_title,clean_author,subjects,source
A-Z World Directory Of Revolvers Pistols & Submach,Will Fowler,[],openlibrary.org
Aaa Road Atlas 2013 Canada United States Mexico,Aaa,[],openlibrary.org
Aappl Yearbook Of Photography And Imaging V68,,[],openlibrary.org
Abandoned True Story Of A Little Girl Who Didn'T,Anya Peters,[],openlibrary.org
"Abduction, The",Mark Gimenez,"['Fiction', 'Kidnapping', 'Parent and child', 'Missing children', 'Grandparent and child', 'Fiction, suspense', 'Missing persons, fiction', 'Parent and child, fiction', 'Crime, fiction', 'Fiction, thrillers, general', 'Fiction, thrillers, suspense', 'Suspense fiction']",openlibrary.org
"Abduction, The (P)",Mark Gimenez,[],openlibrary.org
About Men,Phyllis Chesler,"['Men', 'Sex role', 'Fathers and sons', 'Psychology', 'Masculinity', 'Psychosexual Development', 'Father-Child Relations', 'Identification (Psychology)', 'Men, psychology']",openlibrary.org
Above,Isla Morley,"['Kidnapping', 'Escapes', 'Missing persons', 'Survival', 'Mother and child', 'Captivity', 'Fiction', 'Fiction, suspense', 'Fiction, thrillers, general', 'Large type books', 'Fiction, psychological', 'Missing persons, fiction', 'Kansas, fiction', 'Fiction, thrillers, suspense']",openlibrary.org
Absinthe History In A Bottle,Barnaby Conrad,[],openlibrary.org
Absolut Sequel,Richard Lewis,"['Advertising campaigns', 'Advertising', 'Alcoholic beverages', 'Vodka industry', 'History', 'Absolut Vodka Company']",openlibrary.org
Absolute Boyfriend V1,Yuu Watase,[],openlibrary.org
Absolute Boyfriend V3,Yuu Watase,[],openlibrary.org
Absolute Boyfriend V6,Yuu Watase,[],openlibrary.org
Absolute Duo V4,Takumi Hiiragiboshi,[],openlibrary.org
Absolute Mayhem,Monica Mayhem,"['Actresses', 'Pornographic films', 'Motion picture actors and actresses', 'Social aspects', 'Pornographic film industry', 'Biography', 'Pornography', 'Los angeles (calif.), biography']",openlibrary.org
Absolute Zero V1,Ron Dewey,[],openlibrary.org
"Abuse Of Innocence, The",Paul Eberle,"['Trials (Child sexual abuse)', 'Trials, litigation', 'Trials, united states', 'Child sexual abuse']",openlibrary.org
Abused Boys,Mic Hunter,"['Boys', 'Sexually abused children', 'Adult child sexual abuse victims', 'Case studies', 'Sexually abused boys', 'Abuse of', 'Abused children', 'Sexual Child Abuse', 'Case Reports']",openlibrary.org
Academy Of Lust,Jenny Strong,"['Fiction, erotica, general']",openlibrary.org
"Academy, The",Arabella Knight,"['Erotic Literature', 'Fiction', 'Romance', 'Fiction, erotica, general']",openlibrary.org
Accel World 23 Kuroyukihime'S Confession,Reki Kawahara,[],openlibrary.org
Accel World 3 Twilight Marauder,Reki Kawahara,[],openlibrary.org
"Accused My Fight For Truth, Justice & The Strength",Tonya Craft,[],openlibrary.org
Ace Of Hearts Bk1 Deck Of Cardz,Jean Holloway,[],openlibrary.org
Achilles,Elizabeth Cook,"['Achilles (Greek mythology)', 'Fiction', 'History', 'Fiction, war & military', 'Fiction, historical', 'Greece, fiction', 'Fiction, historical, general']",openlibrary.org
Acid Row,Minette Walters,"['Poor families', 'Fiction', 'Riots', 'Women physicians', 'Child molesters', 'Missing children', 'Mystery/Suspense', 'Fiction - Espionage / Thriller', 'Thrillers', 'Fiction / Mystery & Detective / General', 'Mystery fiction', 'Mobs', 'Alienation (Social psychology)', 'Large type books', 'Fiction, mystery & detective, general', 'Women physicians, fiction', 'England, fiction', 'Fiction, psychological', 'Missing persons, fiction']",openlibrary.org
Acis Trips And Chemistry,Cam Cloud,[],openlibrary.org
"Act Like A Lady Questionable Advice, Ridiculous",Keltie Knight,[],openlibrary.org
Action A Book About Sex,Amy Rose Spiegel,"['Sexual excitement', 'Sex instruction', 'Sexual intercourse', 'Sex', 'SELF-HELP', 'Personal Growth', 'Happiness', 'Self-Esteem', 'Sexual Instruction', 'HUMOR', 'General']",openlibrary.org
Acts Of Fiction,Scott Carpentar,[],openlibrary.org
Adam The Male Figure In Art,Edward Lucie-Smith,"['Men in art', 'Human figure in art', 'Nude in art']",openlibrary.org
"Adderall Diaries, The",Stephen Elliott,"['Trials (Murder)', 'American Authors', 'Biography', 'Murder, united states', 'Authors, biography', 'Drug addicts', 'Fathers and sons', 'Health', 'Amphetamine abuse', 'Trials, litigation']",openlibrary.org
Addict Chick,Amanda Meredith,[],openlibrary.org
Addicted,Zane,"['Man-woman relationships', 'Psychological fiction', 'Revenge', 'Stalking', 'Erotic stories', 'Suspense fiction', 'Sex addicts', 'African American women', 'Fiction', 'African americans, fiction', 'Fiction, african american, erotica', 'Married people, fiction', 'Maori language', 'Texts', 'Married women', 'Sex addiction', 'Adultery', 'FICTION / African American / Erotica', 'FICTION / Erotica', 'FICTION / Romance / Erotica', 'Fiction, african american & black, erotica']",openlibrary.org
Addicted To A Dirty South Thug 2,Shan,[],openlibrary.org
Adrift,Steven Callahan,"['Napoleon Solo (Yacht)', 'Survival after shipwreck', 'Shipwreck survival', 'Yachts and yachting', 'Shipwrecks', 'Survival after airplane accidents, shipwrecks, etc.', 'Survival', 'Survival at sea', 'Napoleon Solo (Ship)', 'Survival (after airplane accidents, shipwrecks, etc.)', 'nyt:e-book-nonfiction=2013-05-26', 'New York Times bestseller']",openlibrary.org
